x,t,y
-10,0,1.648922891153479e-8
-9.949874686716791,0.005012531328320802,1.7511498988280718e-8
-9.899749373433584,0.010025062656641603,1.8597145958546394e-8
-9.849624060150376,0.015037593984962405,1.9750098950930395e-8
-9.799498746867169,0.020050125313283207,2.097453068519438e-8
-9.74937343358396,0.02506265664160401,2.2274872573997344e-8
-9.699248120300751,0.03007518796992481,2.3655830760878816e-8
-9.649122807017545,0.03508771929824561,2.5122403152537526e-8
-9.598997493734336,0.040100250626566414,2.6679897507046484e-8
-9.548872180451127,0.045112781954887216,2.833395064346874e-8
-9.49874686716792,0.05012531328320802,3.00905488423974e-8
-9.448621553884712,0.05513784461152882,3.1956049511251806e-8
-9.398496240601503,0.06015037593984962,3.3937204192739925e-8
-9.348370927318296,0.06516290726817042,3.604118299975805e-8
-9.298245614035087,0.07017543859649122,3.827560056516316e-8
-9.24812030075188,0.07518796992481203,4.064854360033098e-8
-9.197994987468672,0.08020050125313283,4.3168600162243e-8
-9.147869674185463,0.08521303258145363,4.5844890735018785e-8
-9.097744360902256,0.09022556390977443,4.868710123838794e-8
-9.047619047619047,0.09523809523809523,5.170551808256287e-8
-8.99749373433584,0.10025062656641603,5.491106539637714e-8
-8.947368421052632,0.10526315789473684,5.8315344563431864e-8
-8.897243107769423,0.11027568922305764,6.193067620932935e-8
-8.847117794486216,0.11528822055137844,6.577014479195871e-8
-8.796992481203008,0.12030075187969924,6.984764595620841e-8
-8.746867167919799,0.12531328320802004,7.417793682449067e-8
-8.696741854636592,0.13032581453634084,7.877668940508845e-8
-8.646616541353383,0.13533834586466165,8.36605473116172e-8
-8.596491228070175,0.14035087719298245,8.884718599887587e-8
-8.546365914786968,0.14536340852130325,9.435537673309121e-8
-8.496240601503759,0.15037593984962405,1.0020505452807692e-7
-8.446115288220552,0.15538847117794485,1.0641739029316973e-7
-8.395989974937343,0.16040100250626566,1.1301486745407015e-7
-8.345864661654135,0.16541353383458646,1.2002136332387396e-7
-8.295739348370928,0.17042606516290726,1.2746223551880248e-7
-8.24561403508772,0.17543859649122806,1.3536441373137977e-7
-8.195488721804512,0.18045112781954886,1.4375649719318565e-7
-8.145363408521304,0.18546365914786966,1.5266885817993793e-7
-8.095238095238095,0.19047619047619047,1.621337519334825e-7
-8.045112781954888,0.19548872180451127,1.7218543339853288e-7
-7.994987468671679,0.20050125313283207,1.8286028119663356e-7
-7.9448621553884715,0.20551378446115287,1.9419692928603083e-7
-7.894736842105264,0.21052631578947367,2.062364067839557e-7
-7.844611528822055,0.21553884711779447,2.1902228645733735e-7
-7.794486215538847,0.22055137844611528,2.3260084241937794e-7
-7.7443609022556394,0.22556390977443608,2.470212176026972e-7
-7.694235588972431,0.23057644110275688,2.6233560161516253e-7
-7.644110275689223,0.23558897243107768,2.785994196220921e-7
-7.593984962406015,0.24060150375939848,2.958715329384215e-7
-7.543859649122807,0.24561403508771928,3.142144520567955e-7
